Date,SPY,GS,MSFT,TLT,MRK
1/15/2013,124.128632,116.89373,22.600115,96.72406,30.094681
1/16/2013,124.111725,121.635361,22.458918,96.925484,29.863012
1/17/2013,124.913521,121.566391,22.633331,95.958801,30.010437
1/18/2013,125.192047,124.532066,22.633331,96.699928,30.171888
1/22/2013,125.867279,125.825203,22.550272,96.885162,30.326326
1/23/2013,126.069817,125.488983,22.932348,96.740158,30.059578
1/24/2013,126.103592,124.971741,22.948952,96.401825,30.185926
1/25/2013,126.812523,124.540672,23.156601,95.080704,30.508858
1/28/2013,126.66066,124.273422,23.181517,94.734337,30.136799
1/29/2013,127.1586,126.816612,23.264582,94.210716,30.649252
1/30/2013,126.66066,126.859734,23.131687,94.049591,30.53694
1/31/2013,126.348351,127.471848,22.799456,94.508751,30.361431
2/1/2013,127.648155,129.23056,23.198132,93.281601,29.364588
2/4/2013,126.213303,127.178726,22.791149,94.476501,28.676634
2/5/2013,127.487785,129.704712,22.840979,93.636818,29.083794
2/6/2013,127.58062,130.282257,22.708092,94.403801,28.845119
2/7/2013,127.411827,129.540894,22.65826,94.193924,28.781929
2/8/2013,128.120789,130.696152,22.882509,94.557236,28.908306
2/11/2013,128.09549,131.247864,23.139996,94.48452,29.048695
2/12/2013,128.306458,132.860031,23.156601,94.25042,29.097828
2/13/2013,128.416214,133.213547,23.281189,93.483421,28.887239
2/14/2013,128.534286,134.429092,23.289501,94.331169,28.915319
2/15/2013,128.382446,133.618759,23.264582,94.056641,29.07678
2/19/2013,129.344589,136.774017,23.490694,93.588394,29.638376
2/20/2013,127.732491,133.782486,23.339949,93.870995,29.947254
2/21/2013,126.956039,130.075424,23.021715,94.419922,29.834932
2/22/2013,128.196747,132.842789,23.247824,94.48452,30.164869
2/25/2013,125.757545,127.290764,22.92123,96.341476,29.848965
2/26/2013,126.618423,128.026031,22.92123,95.784424,29.77877
2/27/2013,128.213623,131.183517,23.289701,95.501846,30.164869
2/28/2013,127.960434,129.548569,23.28133,95.679428,29.996399
3/1/2013,128.382446,130.214661,23.406944,96.200516,29.926188
3/4/2013,129.066086,131.641953,23.574442,95.69072,30.424606
3/5/2013,130.222366,132.316696,23.741932,95.41568,30.361431
3/6/2013,130.399582,133.328812,23.524191,94.549942,30.66329
3/7/2013,130.635941,135.482681,23.566061,93.821777,30.375483
3/8/2013,131.192947,132.333969,23.448822,92.842796,30.164869
3/11/2013,131.690979,132.610825,23.339949,92.93174,30.649252
3/12/2013,131.395523,131.356476,23.373447,93.603317,31.61801
3/13/2013,131.581253,131.408386,23.38183,93.506248,31.618469
3/14/2013,132.281799,133.233658,23.566061,93.223053,31.391544
3/15/2013,132.107117,133.942978,23.482321,93.659897,31.263926
3/18/2013,131.378052,131.443008,23.532564,94.37191,30.937735
3/19/2013,131.07283,128.752731,23.599567,95.011139,30.987375
3/20/2013,131.988434,129.868622,23.716808,93.951248,31.285194
3/21/2013,130.860901,125.759735,23.540939,94.857407,31.051191
3/22/2013,131.912109,126.815079,23.65818,94.930214,31.129198
3/25/2013,131.361099,126.391167,23.582815,94.841232,30.980284
3/26/2013,132.412308,126.763138,23.582815,94.954514,31.47665
3/27/2013,132.412308,127.887642,23.75868,95.763573,31.271017
3/28/2013,132.819229,127.290771,23.959665,95.278114,31.341919
4/1/2013,132.293625,126.330589,23.959665,95.99572,31.448284
4/2/2013,132.946396,126.884201,24.118784,95.606483,31.845375
4/3/2013,131.59845,124.055573,23.917797,96.466003,32.164474
4/4/2013,132.132538,123.692276,23.95129,97.617378,32.136097
4/5/2013,131.539093,124.297752,24.035048,99.587738,32.001381
4/8/2013,132.429276,124.410233,23.942924,98.825562,32.24955
4/9/2013,132.887024,126.745857,24.797129,98.582283,32.270832
4/10/2013,134.514786,129.289063,25.358229,97.228249,33.213913
4/11/2013,134.955627,128.951706,24.236032,97.414696,33.476299
4/12/2013,134.624969,128.994873,24.110418,98.866104,33.405361
4/15/2013,131.505203,126.693954,24.02667,99.725594,32.944469
4/16/2013,133.446594,124.652451,24.261156,98.9067,33.299019
4/17/2013,131.496704,121.624786,24.143906,99.563438,33.157192
4/18/2013,130.674393,119.894714,24.110418,99.806717,33.015373
4/19/2013,131.810364,119.998505,24.931122,99.595886,33.674831
4/22/2013,132.39537,120.690552,25.818829,99.668839,33.979744
4/23/2013,133.760193,123.649002,25.626207,99.320213,34.4832
4/24/2013,133.845001,124.505394,26.597658,99.571556,34.001019
4/25/2013,134.387604,125.22332,26.748402,99.141792,33.575554
4/26/2013,134.150238,124.661102,26.622786,100.049919,33.944286
4/29/2013,135.048859,125.526108,27.309509,99.685028,33.908833
4/30/2013,135.371048,126.356537,27.719854,99.741821,33.327385
5/1/2013,134.184128,123.363503,27.401621,100.766472,32.398464
5/2/2013,135.430374,124.280464,27.770102,100.636444,32.426823
5/3/2013,136.803741,125.751053,28.046469,98.263779,32.384274
5/6/2013,137.151321,128.41539,28.2642,98.019958,31.895004
5/7/2013,137.846466,129.167953,27.895723,97.638069,32.100639
5/8/2013,138.473801,129.981079,27.627739,97.792496,31.902103
5/9/2013,138.083847,128.49321,27.351376,97.540588,32.256649
5/10/2013,138.533218,128.977661,27.376503,96.492348,32.582825
5/13/2013,138.643356,129.436127,27.661232,95.752914,32.738834
5/14/2013,140.076111,133.666153,28.276863,94.712822,33.079197
5/15/2013,140.830597,134.609009,28.546722,95.346649,33.135925
5/16/2013,140.169327,133.622879,28.740696,96.338028,32.880638
5/17/2013,141.525711,136.83223,29.406918,95.119179,32.611187
5/20/2013,141.517303,137.455093,29.584026,95.005371,32.058105
5/21/2013,141.720734,139.038071,29.390055,95.752914,33.561375
5/22/2013,140.66954,137.835663,29.187662,94.330956,33.121738
5/23/2013,140.262573,136.166138,28.799734,94.777824,33.561375
5/24/2013,140.14389,137.299316,28.900927,94.907837,33.440838
5/28/2013,140.983215,139.451431,29.533438,92.50264,33.76701
5/29/2013,140.067596,141.334503,29.415361,93.542732,33.235191
5/30/2013,140.584717,142.61879,29.541857,93.315224,33.377018
5/31/2013,138.567078,140.648987,29.432213,92.998375,33.114655
6/3/2013,139.330002,141.933243,30.014133,93.491112,34.355549
6/4/2013,138.660324,140.301865,29.508121,92.627708,35.057564
6/5/2013,136.718979,137.368713,29.331028,93.906517,34.554115
6/6/2013,137.95668,138.566269,29.482826,93.84948,34.461922
6/7/2013,139.711517,144.05928,30.081589,92.171585,34.171207
6/10/2013,139.711517,145.343628,29.912916,91.731743,34.362667
6/11/2013,138.27037,141.716339,29.381613,92.823166,33.724464
6/12/2013,137.125885,140.458023,29.516554,91.495529,33.504639
6/13/2013,139.21138,143.894409,29.280422,92.9291,34.292629
6/14/2013,138.338181,141.377869,29.010561,92.70919,34.328419
6/17/2013,139.406357,142.410522,29.516554,92.220436,34.221035
6/18/2013,140.508469,142.445251,29.499691,92.269318,34.185234
6/19/2013,138.567078,140.197723,29.170788,91.316345,34.063534
6/20/2013,135.133636,134.860901,28.243135,89.817635,33.154316
6/21/2013,135.567413,133.854279,28.057598,88.294441,33.648293
6/24/2013,133.854401,130.84314,28.437101,88.660965,33.225899
6/25/2013,135.141281,132.821594,28.394926,87.870903,33.097046
6/26/2013,136.479355,131.606735,28.968395,88.441055,33.426361
6/27/2013,137.280457,133.212051,29.196096,89.345161,33.848755
6/28/2013,136.717972,131.250931,29.128635,89.956085,33.254532
7/1/2013,137.519104,131.684769,28.976826,90.137344,33.161465
7/2/2013,137.391251,130.964569,28.622625,90.08017,33.326122
7/3/2013,137.450912,130.539337,28.681665,89.810722,33.326122
7/5/2013,138.933823,132.977814,28.850328,86.749321,33.76284
7/8/2013,139.72641,133.472443,28.95153,87.59021,33.941822
7/9/2013,140.732086,136.188568,28.968395,87.679993,34.092163
7/10/2013,140.783218,135.225342,29.263559,86.994202,34.335587
7/11/2013,142.70076,136.856766,30.098455,88.014694,34.586151
7/12/2013,142.760361,138.939438,30.081589,87.941216,34.750816
7/15/2013,143.305862,141.447296,30.503254,88.40657,34.736492
7/16/2013,142.768967,139.052246,30.587591,88.708633,34.528873
7/17/2013,143.135406,140.14563,30.140629,88.871925,34.457291
7/18/2013,143.919464,142.367142,29.887625,87.76162,33.934658
7/19/2013,144.175171,142.627457,26.480568,89.149475,34.213871
7/22/2013,144.456406,144.267593,26.995001,89.280075,34.16375
7/23/2013,144.149597,144.27623,26.834766,88.904533,34.314102
7/24/2013,143.621185,143.217575,26.952837,87.777939,34.199547
7/25/2013,143.970596,143.972534,26.472137,87.745285,34.485935
7/26/2013,144.124023,143.408432,26.666105,88.284081,34.715015
7/29/2013,143.680832,141.594803,26.598639,87.639191,34.607624
7/30/2013,143.680832,140.952713,26.860069,87.606499,34.400009
